wsAccountCode	SecurityCode	ExDate	CompanyName	EXCHG	SCHEMENAME	BonusShare
AYAN046	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	DIR	PriceBridge Upswing	0
AYAN046	HDFCBANK	26-08-2025	HDFC Bank Ltd	DIR	PriceBridge Upswing	554
AYAN046	BAJAUTOFIN	16-06-2025	Bajaj Finance Ltd	DIR	PriceBridge Upswing	23
AYAN046	RELIANCE	28-10-2024	Reliance Industries Ltd	NSE	PriceBridge Upswing	223
AYAN046	BAJAUTOFIN	16-06-2025	Bajaj Finance Ltd	NSE	PriceBridge Upswing	23
AYAN046	HDFCAMC	26-11-2025	HDFC Asset Management Company Limited	NSE	PriceBridge Upswing	0
AYAN046	HDFCBANK	26-08-2025	HDFC Bank Ltd	NSE	PriceBridge Upswing	554
AYAN046	ASTRAL	14-03-2023	Astral Ltd.	NSE	PriceBridge Upswing	115
AYAN046	WIPRO	03-12-2024	WIPRO Ltd	NSE	PriceBridge Upswing	0
AYAN046	NMDC	27-12-2024	NMDC LTD	NSE	PriceBridge Upswing	2797
AYAN046	CDSL	23-08-2024	Central Depository Services India Limited	NSE	PriceBridge Upswing	0
AYAN046	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	NSE	PriceBridge Upswing	0
AYAN046	BPCL	21-06-2024	Bharat Petroleum Corporation Ltd	NSE	PriceBridge Upswing	0
AYAN046	BERGEPAINT	22-09-2023	Berger Paints India Limited	NSE	PriceBridge Upswing	0
AYAN046	OIL	02-07-2024	Oil India Limited	NSE	PriceBridge Upswing	0
AYAN046	POWERGRID	12-09-2023	Power Grid Corporation Of India Limited	NSE	PriceBridge Upswing	1533
AYAN046	IGL	31-01-2025	Indraprastha Gas Limited	NSE	PriceBridge Upswing	0
AYAN046	CONCOR	04-07-2025	Container Corporation of India Limited	NSE	PriceBridge Upswing	0
AYAN046	ASHOKLEY	16-07-2025	ASHOK LEYLAND LTD	NSE	PriceBridge Upswing	3549
AYAN046	MOTHERSON	18-07-2025	Samvardhana Motherson International Limited	NSE	PriceBridge Upswing	0
226NREAYAN	WIPRO	03-12-2024	WIPRO Ltd	NSE	PriceBridge Upswing	0
NROAYAN22	WIPRO	03-12-2024	WIPRO Ltd	NSE	PriceBridge Upswing	0
NROAYAN22	CONCOR	04-07-2025	Container Corporation of India Limited	NSE	PriceBridge Upswing	0
TAYAN021	RELIANCE	28-10-2024	Reliance Industries Ltd	NSE	PriceBridge Top 100 Equity	239
TAYAN021	WIPRO	03-12-2024	WIPRO Ltd	NSE	PriceBridge Top 100 Equity	51
TAYAN021	BAJAUTOFIN	16-06-2025	Bajaj Finance Ltd	NSE	PriceBridge Top 100 Equity	9
TAYAN021	MOTHERSON	18-07-2025	Samvardhana Motherson International Limited	NSE	PriceBridge Top 100 Equity	218
TAYAN021	TVSMOTOR	25-08-2025	TVS Motor Company Ltd	NSE	PriceBridge Top 100 Equity	9
TAYAN021	HDFCBANK	26-08-2025	HDFC Bank Ltd	NSE	PriceBridge Top 100 Equity	252
TAYAN021	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	NSE	PriceBridge Top 100 Equity	17
TAYAN023	RELIANCE	28-10-2024	Reliance Industries Ltd	DIR	PriceBridge Top 100 Equity	800
TAYAN023	TVSMOTOR	25-08-2025	TVS Motor Company Ltd	NSE	PriceBridge Top 100 Equity	9
TAYAN023	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	NSE	PriceBridge Top 100 Equity	19
TAYAN023	BAJAUTOFIN	16-06-2025	Bajaj Finance Ltd	NSE	PriceBridge Top 100 Equity	10
TAYAN023	HDFCBANK	26-08-2025	HDFC Bank Ltd	NSE	PriceBridge Top 100 Equity	272
TAYAN023	MOTHERSON	18-07-2025	Samvardhana Motherson International Limited	NSE	PriceBridge Top 100 Equity	220
AYAN148	BAJAUTOFIN	16-06-2025	Bajaj Finance Ltd	NSE	PriceBridge Upswing	19
AYAN148	RELIANCE	28-10-2024	Reliance Industries Ltd	NSE	PriceBridge Upswing	36
AYAN148	CONCOR	04-07-2025	Container Corporation of India Limited	NSE	PriceBridge Upswing	0
AYAN148	ASHOKLEY	16-07-2025	ASHOK LEYLAND LTD	NSE	PriceBridge Upswing	745
AYAN148	HDFCBANK	26-08-2025	HDFC Bank Ltd	NSE	PriceBridge Upswing	36
AYAN148	NMDC	27-12-2024	NMDC LTD	NSE	PriceBridge Upswing	144
AYAN148	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	NSE	PriceBridge Upswing	0
250NREAYAN	CONCOR	04-07-2025	Container Corporation of India Limited	NSE	PriceBridge Upswing	0
250NREAYAN	TVSMOTOR	25-08-2025	TVS Motor Company Ltd	NSE	PriceBridge Upswing	0
250NREAYAN	ASHOKLEY	16-07-2025	ASHOK LEYLAND LTD	NSE	PriceBridge Upswing	543
250NREAYAN	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	NSE	PriceBridge Upswing	0
AYAN030	PIDILITIND	23-09-2025	Pidilite Industries Ltd.	DIR	PriceBridge Upswing	0
AYAN030	ASTRAL	14-03-2023	Astral Ltd.	DIR	PriceBridge Upswing	85
AYAN030	RELIANCE	28-10-2024	Reliance Industries Ltd	DIR	PriceBridge Upswing	52
