Security_Code	Security_Name
TATAELXSI	TATA ELXSI LTD
LIQUIDETF	DSP Liquid ETF
CASH	CASH
HINDZINCNEW	Hindustan Zinc Limited
INFOSYSTECH	Infosys Ltd
RIL	Reliance Industries Ltd
DIVISLAB	Divis Laboratories Ltd
ASIANPAINTS	Asian Paints Ltd
IEX	Indian Energy Exchange Ltd.
JUBLFOOD	Jubilant Foodworks Limited
TCS	Tata Consultancy Services Ltd
PIIND	PI Industries Limited
METROBRAND	Metro Brands Limited
BASF	BASF India Ltd
TECHMAHINDRA	Tech Mahindra Ltd
PFIZER	PFIZER LIMIT
ASTRAL1	Astral Ltd.
BSE	BSE Limited
PETERENGLAND	Aditya Birla Fashion and Retail Limited
TATAGLOBAL	TATA Consumer Products Ltd
KMBANK	Kotak Mahindra Bank Ltd
LATENTVIEW	Latent View Analytics Ltd
HINDALCO	Hindalco Industries Ltd
UNITEDSPIRITS	United Spirits Ltd
GODREJCP	Godrej Consumer Products Ltd
BPCL	Bharat Petroleum Corporation Ltd
ICICIPRULI	ICICI Prudential Life Insurance Company Ltd
LICI	Life Insurance Corporation Of India
ICICIGI	ICICI Lombard General Insurance Company Ltd
SUPREMEIND	Supreme Industries Limited
SAREGAMA	Saregama India Limited
MMFIN	Mahindra & Mahindra Financial Services Limited
MARUTI	Maruti Suzuki India Ltd
ADITYABIRLA	Aditya Birla Capital Ltd
MGL	Mahanagar Gas Limited
PIDILITIND	Pidilite Industries Ltd.
HUL	Hindustan Unilever Ltd
ALKYLAMINE	Alkyl Amines Chemicals Limited
DABUR	Dabur India Ltd
HDFCBANK	HDFC Bank Ltd
MUTHOOTFIN	Muthoot Finance Limited
HDFCAMC	HDFC Asset Management Company Limited
PRESTIGE	PRESTIGE ESTATES PROJECTS LTD
CUB	City Union Bank Limited
101884	Nippon India ETF Nifty 1D Rate Liquid BeES
BAJAUTOFIN	Bajaj Finance Ltd
LTI	LTIMindtree Ltd
CDSL	Central Depository Services India Limited
LTTS	L and T Technology Services Limited
HCLTECH	HCL Technologies Limited
HNGSNGBEES	Nippon India ETF Hang Seng BeES
DMART	AVENUE SUPERMARTS LIMITED
APLAPOLLO	APL Apollo Tubes
FEDERALBNK	Federal Bank Ltd
SBI	State Bank of India
ALKEM	Alkem Laboratories Ltd
106193	Kotak Gold ETF
SIEMENS	SIEMENS LTD
150440	Quant Large Cap Fund-Growth Option-Direct Plan
UNIPHOS	UPL Ltd
NMDC	NMDC LTD
GLAND	Gland Pharma Limited
AVANTIFEED	Avanti Feeds Limited
BAJAJAUTO	Bajaj Auto Ltd
AXISHCETF	Axis NIFTY Healthcare ETF
UTIBANKETF	UTI Nifty Bank ETF
DSPNEWETF	DSP Nifty 50 Equal Weight ETF
ICICIBANKP	ICICI Prudential Nifty Private Bank ETF
ICICITECH	ICICI Prudential Nifty IT ETF
DSPQ50ETF	DSP Nifty Midcap 150 Quality 50 ETF
ICICINF100	ICICI Prudential Nifty 100 ETF
AXISTECETF	AXIS MUTUAL FUND-AXIS NIFTY IT ETF
ABSLNN50ET	Aditya Birla Sun Life Nifty Next 50 ETF
MANXT50	Mirae Asset Nifty Next 50 ETF
ICICIALPLV	ICICI Prudential Nifty Alpha Low Volatility 30 ETF
ICICIFMCG	ICICI Prudential Nifty FMCG ETF
ICDSLTD	ICDS Ltd
AXIS	Axis Bank Ltd
HDFCLIFE	HDFC Standard Life Insurance Company Ltd
RECLTD	REC Limited
GAIL	GAIL India Ltd
HAVELLS	Havells India Ltd
JISLDVREQS	Jain Irrigation Systems Limited-DVR
EMAMIINFRA	Emami Realty Ltd
ICICI	ICICI Bank Ltd
IPCALAB	Ipca Laboratories Limited
JISLJALEQS	Jain Irrigation Systems Limited
LSIL	Lloyds Engineering Works Ltd
LT	Larsen and Toubro Ltd
MRP	MANGALORE REFINERY & PETROCHEMICALS LTD
NEPCMICON	NEPC INDIA LTD.
NESTLEIND	Nestle India Ltd
NOCIL	NOCIL LTD.
NOVARTIND	NOVARTIS INDIA LTD
ONGC	Oil and Natural Gas Corporation Limited
PCS	PCS Technology Ltd
PHILIPS	PHILIPS INDIA LTD.
PHILIPSDOME	Philips Domestic Appliances India Ltd
RCOM	RELIANCE COMMUNICATIONS L
ROLTA	ROLTA INDIA LTD.
SIGNIFY	Signify Innovations India Limited
TATAMOTORS	Tata Motors Limited
TATASTEEL	Tata Steel Ltd
TRENT	Trent Ltd
ULTRATECH	Ultratech Cement Ltd
UNIVERSALOFF	Universal Office Automation Ltd
ZUARI	ZUARI AGRO CHEMICALS LTD
ZUARIGLOB	Zuari Industries Ltd
DCW	DCW Ltd
ACC	ACC Ltd
ADANIPOWER	Adani Power Ltd
BOB	Bank of Baroda
BOMDYEING	Bombay Dyeing and Manufacturing Company Limited
CANBK	Canara Bank
CENTENKA	Century Enka Limited
CIPLA	Cipla Ltd
EMAMILTD	Emami Limited
112938	Nippon India Credit Risk Fund-Growth Plan
148258	Nippon India Credit Risk Fund-Segregated Portfolio 2-Growth Plan
BRITANNIA	Britannia Industries Ltd.
BRITANNIADEB	BRITANNIA INDUSTRIES LIMITED - 5.5 NCD 03JU24 FVRS29
CADILAHC	Zydus Lifesciences Limited
IBL	IDFC First Bank Limited
INE733E07JW2	NTPC LIMITED SR-3B 7.62 BD 05OT35 FVRS1000
RENUKA	SHREE RENUKA SUGARS LTD
INE020B07JU4	RURAL ELECTRIFICATION CORPORATION LTD
101161	Nippon India Multi Cap Fund-Growth Plan-Growth Option
102594	ICICI PRUDENTIAL DISCOVERY FUND-GROWTH OPTION
103340	ICICI Prudential Liquid Fund - Growth
103360	Franklin India Smaller Companies Fund-Growth
105758	HDFC MID-CAP OPPORTUNITIES FUND - GROWTH OPTION
108466	ICICI PRUDENTIAL FOCUSED BLUECHIP EQUITY FUND - RETAIL GROWTH PLAN
111803	Aditya Birla Sun Life Medium Term Plan-Growth-Regular Plan
112277	Axis Bluechip Fund - Growth
INDIACEM	INDIA CEMENTS LTD
TDSACCOUNT	Tax Deducted at Source
AMARAJABAT	Amara Raja Energy & Mobility Limited
ICICIMOM30	ICICI Prudential Nifty 200 Momentum 30 ETF
120676	ICICI Prudential Ultra Short Term Fund - Direct Plan -  Growth
IRCTC	Indian Railway Catering And Tourism Corporation Limited
ISEC	ICICI Securities Ltd
SHREECEM	Shree Cement Limited
WIPRO	WIPRO Ltd
REDINGTON	Redington India Ltd.
NMDCSTEEL	NMDC Steel Ltd
BHARTI	Bharti Airtel Ltd
GRASIM	Grasim Industries Ltd
PERSISTENT	Persistent Systems Ltd
VIPIND	VIP Industries Ltd
BAJAJFINSV	BAJAJ FINSERV LTD
SUMICHEM	Sumitomo Chemical India Limited
MPHASIS	MPHASIS Ltd.
SOLARINDS	SOLAR INDUSTRIES INDIA LTD
HFCL	HFCL Limited
POWERGRID	Power Grid Corporation Of India Limited
CASTROL	CASTROL INDIA LTD
BHEL	Bharat Heavy Electricals Ltd
CREDITACC	CreditAccess Grameen Ltd
ITC	ITC Ltd
COALINDIA	Coal India Ltd.
SBICARD	SBI Cards and Payment Services Limited
RELAXO	Relaxo Footwears Limited
IRFC	Indian Railway Finance Corporation Limited
NIFTYBEES	Nippon India ETF Nifty 50 BeES
DLF	DLF Limited
COLPAL	COLGATE PALMOLIVE INDIA LTD
MAESGETF	Mirae Asset Nifty 100 ESG Sector Leaders ETF
ICICIPHARM	ICICI Prudential Nifty Healthcare ETF
BHARATFORG	BHARAT FORGE LTD
VINATIORGA	VINATI ORGANICS LTD
SONACOMS	Sona BLW Precision Forgings Ltd
DEEPAKNTR	Deepak Nitrite Ltd
MAMFGETF	Mirae Asset Nifty India Manufacturing ETF
149250	Edelweiss Nifty 50 Index Fund Direct Plan Growth
148986	HDFC Banking & Financial Services Fund-Growth Option-Direct Plan
LALPATHLAB	Dr Lal Pathlabs Ltd
GNFC	Gujarat Narmada Valley Fertilizers and Chemicals Limited
GOODYEAR	GOODYEAR INDIA LTD.
INTERDATAMGMT	International Data Management Ltd
PNB	Punjab National Bank
SCHNEIDER	Schneider Electric Infrastructure Ltd
AREVATD	GE Vernova T&D India Ltd
149894	Axis Nifty Smallcap 50 Index Fund-Direct Plan-Growth Option
FORTIS	FORTIS HEALTHCARE INDIA LIMITED
TATACHEM	TATA CHEMICALS LTD.
SBILIFE	SBI Life Insurance Company Limited
141877	DSP Nifty 50 Equal Weight Index Fund-Direct Plan-Growth
150428	DSP Nifty Midcap 150 Quality 50 Index Fund-Direct-Growth
148703	UTI Nifty 200 Momentum 30 Index Fund - Direct Plan - Growth Option
FAGBEARING	Schaeffler India Ltd
INFRATEL	Indus Towers Ltd
NTPC	NTPC LTD
OBEROIRLTY	OBEROI REALTY LIMITED
BALAMINES	Balaji Amines Ltd
DSPGOLDETF	DSP Gold ETF
133054	ICICI Prudential Equity Savings Fund - Direct - Growth
143247	ICICI Prudential BSE 500 ETF
GUJGASLTD	Gujarat Gas Limited
VOLTAS	Voltas Limited
MAFSETF	Mirae Asset Nifty Financial Services ETF
MID150BEES	Nippon India ETF Nifty Midcap 150
147921	ICICI Prudential Nifty Midcap 150 ETF
MOMOMENTUM	Motilal Oswal Mutual Fund - Motilal Oswal Nifty 200 Momentum 30 ETF
OTHERINCOME	Other Income
120685	ICICI Prudential Regular Gold Savings Fund FOF - Direct Plan -  Growth
